[INFO] START: 03/05/2024 12:08:25
TARGET: facebook.com

 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-05-02
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-04-28
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2024-04-27
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2024-04-13
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-04-11
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2024-04-09
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-04-08
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-04-01
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-03-30
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-03-30
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-03-29
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2024-03-29
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-03-20
 | 157.240.241.35  | Secaucus - United States      | FACEBOOK                                 | 2024-03-20
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-03-12
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-03-11
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-03-10
 | 157.240.24.35   | Houston - United States       | FACEBOOK                                 | 2024-03-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-03-08
 | 157.240.24.35   | Houston - United States       | FACEBOOK                                 | 2024-03-07
 | 157.240.19.35   | Dallas - United States        | FACEBOOK                                 | 2024-03-05
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-03-04
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2024-03-01
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-02-29
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-22
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-02-21
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-18
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-02-16
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-14
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-02-11
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-11
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-02-09
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2024-02-09
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-07
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-02-06
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-05
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-02-05
 | 31.13.80.36     | Toronto - Canada              | FACEBOOK                                 | 2024-02-03
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-02-03
 | 157.240.196.35  | Marseille - France            | FACEBOOK                                 | 2024-02-03
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2024-01-23
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-01-22
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2024-01-08
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2024-01-08
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-12-25
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-12-25
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-12-06
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-12-05
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-11-01
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-31
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-10-24
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-23
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-10-13
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-12
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-10-11
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-10
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-08
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-10-08
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-07
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-10-07
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-10-05
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-29
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-29
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-09-26
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-25
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-25
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-25
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-24
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-24
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-24
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-22
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-09-22
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-20
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-09-20
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-19
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-09-19
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-06
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-09-06
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-09-05
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-09-05
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-24
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-24
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-23
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-23
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-21
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-08-21
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-16
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-15
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-14
 | 157.240.249.35  | Chicago - United States       | FACEBOOK                                 | 2023-08-14
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-10
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-10
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-09
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-08
 | 157.240.251.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-08
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-07
 | 157.240.195.35  | Marseille - France            | FACEBOOK                                 | 2023-08-07
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-08-03
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-08-03
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-29
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-29
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-28
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-07-28
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-22
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-21
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-20
 | 157.240.253.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-20
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-19
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-19
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-18
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-17
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-07-17
 | 157.240.0.35    | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-17
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-13
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-13
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-11
 | 157.240.252.35  | Frankfurt am Main - Germany   | FACEBOOK                                 | 2023-07-11
 | 31.13.66.35     | Ashburn - United States       | FACEBOOK                                 | 2023-07-09
 | 31.13.65.36     | Lithia Springs - United States | FACEBOOK                                 | 2023-07-09
 | 157.240.254.35  | Chicago - United States       | FACEBOOK                                 | 2023-07-05
